Company,Current Price,Daily Change,Close Price,Market Cap,Page Number,Stock Rank,Source
CCL Products India,"₹1,089.60",19.00(1.77%),"₹1,081.00","₹14,412",30,421,Groww
Leela Palaces Hotels,₹424.05,-3.90(0.91%),₹429.85,"₹14,345",31,422,Groww
LT Foods,₹420.30,1.15(0.27%),₹411.90,"₹14,308",31,423,Groww
BEML,"₹1,769.30",29.30(1.68%),"₹1,711.60","₹14,241",31,424,Groww
Fine Organic Inds.,"₹4,866.80",-34.40(0.70%),"₹4,641.80","₹14,229",31,425,Groww
Dr. Agarwal's Health,₹445.90,-1.55(0.35%),₹446.45,"₹14,149",31,426,Groww
Sobha,"₹1,328.40",7.20(0.54%),"₹1,320.80","₹14,129",31,427,Groww
Kirloskar Brothers,"₹1,767.00",30.00(1.73%),"₹1,779.10","₹14,120",31,428,Groww
Niva Bupa Health Ins,₹78.87,0.37(0.47%),₹76.17,"₹14,055",31,429,Groww
Jindal SAW,₹227.61,6.19(2.80%),₹219.24,"₹14,024",31,430,Groww
V-Guard Inds.,₹329.25,4.00(1.23%),₹321.30,"₹14,017",31,431,Groww
eClerx Services,"₹1,647.20",95.90(6.18%),"₹1,489.10","₹14,014",31,432,Groww
Jammu & Kashmir Bank,₹132.59,0.22(0.17%),₹127.16,"₹14,001",31,433,Groww
Canara HSBC Life Ins,₹149.10,-1.95(1.29%),₹146.47,"₹13,917",31,434,Groww
Techno Electric,"₹1,222.70",16.15(1.34%),"₹1,195.25","₹13,910",31,435,Groww
Gabriel India,"₹1,006.50",9.55(0.96%),₹964.40,"₹13,899",31,436,Groww
Amara Raja Energy,₹780.00,7.30(0.94%),₹756.40,"₹13,840",32,437,Groww
GSPL,₹275.04,22.75(9.02%),₹242.98,"₹13,710",32,438,Groww
Zen Technologies,"₹1,537.00",12.70(0.83%),"₹1,517.50","₹13,705",32,439,Groww
JSW Dulux,"₹2,937.50",-21.30(0.72%),"₹2,999.00","₹13,666",32,440,Groww
Cohance Lifesciences,₹376.75,13.80(3.80%),₹356.40,"₹13,653",32,441,Groww
Rubicon Research,₹898.10,27.50(3.16%),₹821.30,"₹13,584",32,442,Groww
Finolex Cables,₹944.45,30.90(3.38%),₹883.60,"₹13,506",32,443,Groww
HFCL,₹92.20,0.72(0.79%),₹88.12,"₹13,483",32,444,Groww
Usha Martin,₹449.00,2.35(0.53%),₹441.95,"₹13,461",32,445,Groww
TBO Tek,"₹1,307.00",37.70(2.97%),"₹1,226.30","₹13,311",32,446,Groww
Five Star Business,₹467.40,7.70(1.68%),₹450.30,"₹13,306",32,447,Groww
Inox India,"₹1,509.20",11.10(0.74%),"₹1,468.60","₹13,304",32,448,Groww
Ircon International,₹154.25,11.88(8.34%),₹141.37,"₹13,294",32,449,Groww
Jindal SS (Hisar),₹562.80,0.00(0.00%),₹560.75,"₹13,278",32,450,Groww
Devyani,₹108.10,-0.58(0.53%),₹107.43,"₹13,247",32,451,Groww
Thangamayil Jeweller,"₹4,252.00",-26.40(0.62%),"₹4,252.70","₹13,219",33,452,Groww
Caplin Point Labs,"₹1,782.70",17.80(1.01%),"₹1,735.60","₹13,215",33,453,Groww
RRP Semiconductor,"₹9,639.05",0.00(0.00%),"₹9,639.05","₹13,132",33,454,Groww
Trident,₹26.01,0.13(0.50%),₹25.73,"₹13,111",33,455,Groww
Alivus Life Sciences,"₹1,071.00",-0.20(0.02%),"₹1,064.90","₹13,090",33,456,Groww
Aditya Birla Lifesty,₹105.73,0.15(0.14%),₹107.21,"₹13,085",33,457,Groww
Graphite India,₹681.25,-0.70(0.10%),₹666.35,"₹13,015",33,458,Groww
Tega Industries,"₹1,756.00",1.90(0.11%),"₹1,726.10","₹12,971",33,459,Groww
UTI Asset Management,"₹1,030.50",30.60(3.06%),"₹1,009.60","₹12,969",33,460,Groww
JM Financial,₹136.21,1.54(1.14%),₹135.14,"₹12,925",33,461,Groww
Brainbees Solutions,₹251.26,3.83(1.55%),₹247.74,"₹12,917",33,462,Groww
Shriram City Fin,"₹1,921.80",0.00(0.00%),"₹1,922.05","₹12,880",33,463,Groww
Jaiprakash Power,₹19.63,0.02(0.10%),₹18.85,"₹12,863",33,464,Groww
Rainbow Children,"₹1,252.10",-4.80(0.38%),"₹1,265.00","₹12,850",33,465,Groww
Ingersoll Rand,"₹4,103.00",15.90(0.39%),"₹4,063.70","₹12,813",33,466,Groww
Zensar Technologies,₹602.00,13.75(2.34%),₹563.35,"₹12,805",34,467,Groww
Vinati Organics,"₹1,288.80",14.80(1.16%),"₹1,231.60","₹12,804",34,468,Groww
Indiamart Inter,"₹2,168.60",12.90(0.60%),"₹2,120.10","₹12,738",34,469,Groww
Paradeep Phsphts,₹125.49,3.71(3.05%),₹122.49,"₹12,717",34,470,Groww
Cupid,₹102.13,6.55(6.85%),₹93.40,"₹12,553",34,471,Groww
Sterlite Tech,₹269.08,12.73(4.97%),₹254.91,"₹12,437",34,472,Groww
Afcons Infra,₹331.35,-15.60(4.50%),₹337.45,"₹12,414",34,473,Groww
Inox Wind Energy,"₹10,301.45",0.00(0.00%),"₹10,301.45","₹12,410",34,474,Groww
Engineers India,₹242.91,14.59(6.39%),₹219.89,"₹12,345",34,475,Groww
Minda Corporation,₹534.10,28.45(5.63%),₹515.05,"₹12,328",34,476,Groww
Happy Forgings,"₹1,331.10",15.60(1.19%),"₹1,304.00","₹12,295",34,477,Groww
Blue Dart Express,"₹5,387.30",147.70(2.82%),"₹5,169.70","₹12,270",34,478,Groww
JK Tyre & Industries,₹436.40,16.45(3.92%),₹424.50,"₹12,235",34,479,Groww
India Cements,₹415.15,3.55(0.86%),₹393.90,"₹12,194",34,480,Groww
Lumax Auto Tech,"₹1,798.20",-0.40(0.02%),"₹1,779.30","₹12,132",35,481,Groww
NMDC Steel,₹42.51,0.53(1.26%),₹41.40,"₹12,129",35,482,Groww
BLS Intl Serv,₹296.46,-2.09(0.70%),₹293.57,"₹12,090",35,483,Groww
Reliance Power,₹28.67,-0.22(0.76%),₹28.94,"₹11,968",35,484,Groww
Welspun Living,₹124.65,0.82(0.66%),₹124.76,"₹11,965",35,485,Groww
Indegene,₹487.35,-1.80(0.37%),₹496.65,"₹11,958",35,486,Groww
Gravita India,"₹1,645.50",-23.50(1.41%),"₹1,617.20","₹11,947",35,487,Groww
Azad Engineering,"₹1,859.10",-2.20(0.12%),"₹1,836.40","₹11,868",35,488,Groww
IEX,₹135.60,1.19(0.89%),₹132.81,"₹11,832",35,489,Groww
Shipping Corporation,₹320.44,31.51(10.91%),₹253.34,"₹11,796",35,490,Groww
Jupiter Wagons,₹286.26,5.10(1.81%),₹273.13,"₹11,669",35,491,Groww
Godrej Agrovet,₹618.20,10.50(1.73%),₹605.60,"₹11,663",35,492,Groww
Aptus Value Housing,₹248.83,1.97(0.80%),₹230.66,"₹11,547",35,493,Groww
SKF India (Indust.),"₹2,367.50",-3.30(0.14%),"₹2,309.60","₹11,449",35,494,Groww
Privi Speciality Che,"₹3,132.00",187.90(6.38%),"₹2,929.80","₹11,448",35,495,Groww
